Year,emission
Pre63,2351
Pre63,1293
Pre63,541
Pre63,1058
Pre63,411
Pre63,570
Pre63,800
Pre63,630
Pre63,905
Pre63,347
Yr63to67,620
Yr63to67,940
Yr63to67,350
Yr63to67,700
Yr63to67,1150
Yr63to67,2000
Yr63to67,823
Yr63to67,1058
Yr63to67,423
Yr63to67,900
Yr63to67,405
Yr63to67,780
Yr63to67,270
Yr68to69,1088
Yr68to69,388
Yr68to69,111
Yr68to69,558
Yr68to69,294
Yr68to69,211
Yr68to69,460
Yr68to69,470
Yr68to69,353
Yr68to69,71
Yr68to69,241
Yr68to69,2999
Yr68to69,199
Yr68to69,188
Yr68to69,353
Yr68to69,117
Yr70to71,141
Yr70to71,359
Yr70to71,247
Yr70to71,940
Yr70to71,882
Yr70to71,494
Yr70to71,306
Yr70to71,200
Yr70to71,100
Yr70to71,300
Yr70to71,223
Yr70to71,190
Yr70to71,140
Yr70to71,880
Yr70to71,200
Yr70to71,223
Yr70to71,188
Yr70to71,435
Yr70to71,940
Yr70to71,241
Yr72to74,140
Yr72to74,160
Yr72to74,20
Yr72to74,20
Yr72to74,223
Yr72to74,60
Yr72to74,20
Yr72to74,95
Yr72to74,360
Yr72to74,70
Yr72to74,220
Yr72to74,400
Yr72to74,217
Yr72to74,58
Yr72to74,235
Yr72to74,1880
Yr72to74,200
Yr72to74,175
Yr72to74,85
