County,Obama,MedianAge,Male,White,AverageFamilySize,BachelorsorHigher,MedianHouseholdIncome,IndividualsBelowPoverty,Population,DEMOCRATS,REGISTERED VOTERS,PERCENTAGE DEMOCRATS
Adair,32,41.8,49,98.9,2.89,11.2,35179,7.6,8243,"1,087","5,274",21%
Adams,14,41.9,49.2,98.9,2.91,12,30453,9.3,4482,628,"2,907",22%
Allamakee,41.25,39.7,50.1,95.9,3.02,14.4,33967,9.6,14675,"2,197","9,914",22%
Appanoose,16.67,40.6,47.8,98.2,2.89,12.2,28612,14.5,13721,"2,594","8,999",29%
Audubon,35.42,42.4,47.9,99.2,2.94,12.3,32215,7.7,6830,"1,235","4,377",28%
Benton,28.75,37.2,50,98.8,3.04,13.9,42427,6.1,25308,"4,464","17,863",25%
Black Hawk,42.62,34.4,48,88.4,2.97,23,37266,13.1,128012,"30,087","85,836",35%
Boone,30.71,38.6,49,98.5,2.95,18.8,40763,7.6,26224,"5,241","18,819",28%
Bremer,35,38.1,48.3,98.2,2.95,21.5,40826,5.1,23325,"3,738","17,048",22%
Buchanan,35.33,36.4,49.7,98.4,3.13,12.7,38036,9.4,21093,"3,739","13,968",27%
Buena Vista,37,36.4,50.1,88,3.08,18.7,35300,10.5,20411,"3,031","12,150",25%
Butler,29,41.3,49,99,2.9,12.4,35883,8,15305,"1,723","10,031",17%
Calhoun,30.53,42.4,49.5,98.1,2.87,15.4,33286,10.1,11115,"1,378","6,716",21%
Carroll,34.84,38.7,48.7,98.9,3.07,16,37275,6.5,21421,"3,991","14,923",27%
Cass,32,41.6,48.5,98.8,2.87,16.6,32922,11.1,14684,"1,602","9,894",16%
Cedar,40,39.2,49.4,98.5,2.96,16.3,42198,5.5,18187,"3,186","12,043",26%
Cerro Gordo,30.4,39.3,48.1,96.3,2.91,20.3,35867,8.5,46447,"9,386","31,527",30%
Cherokee,35.56,41.7,49.3,98.3,2.91,15.2,35142,7.3,13035,"1,892","8,639",22%
Chickasaw,33,39.7,50,98.7,3,12.2,37649,8.3,13095,"2,745","8,998",31%
Clarke,21.25,38.6,49.2,96.6,3.01,12.1,34474,8.5,9133,"1,597","6,000",27%
