Sale_Price,Neighborhood,Gr_Liv_Area,Year_Built,Central_Air,Full_Bath,Half_Bath,Lot_Shape
215000,North_Ames,1656,1960,Y,1,0,Slightly_Irregular
105000,North_Ames,896,1961,Y,1,0,Regular
172000,North_Ames,1329,1958,Y,1,1,Slightly_Irregular
244000,North_Ames,2110,1968,Y,2,1,Regular
149000,North_Ames,1004,1970,Y,1,0,Slightly_Irregular
149900,North_Ames,1078,1971,Y,1,1,Slightly_Irregular
142000,North_Ames,1056,1968,Y,1,0,Regular
126000,North_Ames,882,1970,Y,1,0,Regular
115000,North_Ames,864,1971,Y,1,0,Regular
184000,North_Ames,1337,1999,Y,2,0,Slightly_Irregular
142250,North_Ames,1232,1966,Y,1,1,Regular
128950,North_Ames,1225,1959,Y,1,1,Slightly_Irregular
159000,North_Ames,1209,1966,Y,1,0,Regular
178900,North_Ames,1510,1967,Y,2,0,Regular
136300,North_Ames,1775,1964,Y,2,0,Slightly_Irregular
180500,North_Ames,1152,1964,Y,1,0,Slightly_Irregular
137500,North_Ames,1054,1963,Y,1,0,Regular
84900,North_Ames,1728,1962,Y,2,0,Slightly_Irregular
142125,North_Ames,1078,1950,Y,1,0,Regular
197600,North_Ames,2461,1952,Y,2,0,Regular
172500,North_Ames,1556,1949,Y,2,0,Regular
128000,North_Ames,1063,1954,Y,1,0,Regular
153000,North_Ames,1520,1955,Y,1,0,Regular
132000,North_Ames,1268,1954,Y,1,0,Regular
178000,North_Ames,1128,1966,Y,1,0,Slightly_Irregular
154300,North_Ames,2274,1960,Y,2,0,Regular
180000,North_Ames,2207,1970,Y,2,0,Regular
190000,North_Ames,1888,1966,Y,2,1,Slightly_Irregular
135000,North_Ames,1604,1958,Y,2,0,Regular
214000,North_Ames,1480,2003,Y,2,0,Regular
136000,North_Ames,1143,1959,Y,1,0,Slightly_Irregular
165500,North_Ames,1700,1959,Y,1,1,Slightly_Irregular
145000,North_Ames,1314,1957,Y,1,0,Regular
148000,North_Ames,1194,1959,Y,1,0,Regular
142000,North_Ames,1188,1959,Y,1,0,Slightly_Irregular
167500,North_Ames,1264,1960,Y,1,0,Regular
108538,North_Ames,1206,1959,Y,1,0,Slightly_Irregular
159500,North_Ames,1580,1959,Y,1,1,Regular
108000,North_Ames,1337,1956,Y,1,0,Regular
135000,North_Ames,1064,1952,Y,1,0,Regular
122500,North_Ames,972,1955,Y,1,0,Regular
119000,North_Ames,988,1958,Y,1,0,Regular
109000,North_Ames,1057,1953,Y,1,0,Regular
105000,North_Ames,985,1920,Y,1,0,Regular
107500,North_Ames,827,1955,Y,1,0,Regular
144900,North_Ames,1086,1954,Y,1,0,Regular
129000,North_Ames,936,1956,Y,1,0,Regular
