Returns22,Individuals22,Returns21,Individuals21,Returns20,Individuals20,Returns19,Individuals19,stname,ctyname,fips,STATEFIPS,COUNTYFIPS,agi_stub,returns,individuals,avg_individuals_per_return,popestimate,personal_income_2019,personal_income_2020,gdp_2019,gdp_2020,income_per_capita_2019,income_per_capita_2020,gdp_per_capita_2019,gdp_per_capita_2020,gdp_income_ratio_2019,gdp_income_ratio_2020,income_per_capita,gdp_per_capita,gdp_income_ratio,inflow_returns,outflow_returns,net_migration_returns,net_returns_migration,inflow_agi,outflow_agi,net_migration_agi,net_income_migration,migration_rate_returns,migration_rate_agi_2019,migration_rate_agi_2020,migration_rate_agi,child_share,working_age_share,elderly_share_pop,male_share,agi_total,income_total,agi_per_return,income_per_return,agi_per_person,labor_income,business_income,investment_income,retirement_income,transfer_like_income,labor_share,business_share,investment_share,retirement_share,transfer_like_share,non_labor_income,non_labor_share,wage_incidence,capgains_incidence,business_incidence,unemployment_incidence,eitc_incidence,mortgage_interest_incidence,property_tax_incidence,single_share,married_share,hoh_share,mortgage_interest_per_return,property_tax_per_return,salt_income_tax_per_return,salt_sales_tax_per_return,tax_before_credits_total,credits_total,tax_after_credits_total,total_tax_liability,total_tax_payments,tax_per_return,effective_tax_rate_on_agi,effective_tax_rate_on_taxable,credits_share_of_tax_before,eitc_per_return,eitc_per_eitc_return,refundable_eitc_proxy_per_return,refundable_ctc_per_return,refundable_edu_per_return
1040,2920,920,2570,690,1950,640,1850,Alabama,Autauga County,01001,1,001,8,640,1850,2.890625,58909,2477876,2656173,1740015,1749999,42.06277479,45.08942606392911,29.537337248977234,29.706818992004617,0.702220369,0.658842252,45.08942606392911,29.706818992004617,0.658842252,2131,1887,244,244,117820,109063,8757,8757,0.004141982,0.003534075,0.003296849,0.003296849,0.23614388293809097,0.5283403215128418,0.15761598397528392,0.4881597039501604,212604,215319,332.19375,336.4359375,114.92108108108108,116251,37721,31766,19972,3594,0.5467959210551071,0.17742375496227727,0.1494139338864744,0.093939907,0.016904667833154596,89459,0.42077759590600367,0.890625,0.46875,0.515625,0,0,0.375,0.453125,0.0625,0.921875,0,4.6,0.8734375,6.2921875,0,37426,1120,36040,38337,34735,59.9015625,0.18032116046734775,0.21176451092600368,0.02992572,0,NA,0,0,0
8400,22770,7700,20630,5890,16320,5240,14440,Alabama,Baldwin County,01003,1,003,8,5240,14440,2.7557251908396947,233244,10880888,11880306,8145105,8110635,46.65023751950747,50.93509801,34.920962597108606,34.77317744507897,0.7485698777526246,0.6826957992496153,50.93509801,34.77317744507897,0.6826957992496153,7412,4823,2589,2589,626955,280086,346869,346869,0.011099963986211865,0.03187874,0.029196975,0.029196975,0.2151223611325479,0.5048318499082506,0.2103548215602545,0.48843700159489634,2246212,2273936,428.66641221374044,433.9572519083969,155.55484764542936,1028777,528236,509584,170735,41211,0.45800529958881886,0.2351674730613139,0.22686371544627132,0.07601019,0.018346888005228358,1208555,0.538041378,0.833969466,0.5858778625954199,0.683206107,0.005725191,0,0.4217557251908397,0.47900763358778625,0.083969466,0.8893129770992366,0.017175573,6.837022900763359,1.6603053435114503,9.879198473282443,0.11297709923664122,445524,10240,435284,459655,417982,87.72041984732824,0.20463562655706585,0.2337357962490809,0.022984171,0,NA,0,0,0
220,580,220,540,190,460,140,360,Alabama,Barbour County,01005,1,005,8,140,360,2.5714285714285716,24975,873849,926313,762090,733805,34.98894894894895,37.08960960960961,30.514114114114115,29.38158158158158,0.8721071947212848,0.7921782378094662,37.08960960960961,29.38158158158158,0.7921782378094662,437,399,38,38,16804,18592,-1788,-1788,0.001521522,-0.00204612,-0.001930233,-0.001930233,0.2138138138138138,0.5085485485485486,0.1978778778778779,0.5241641641641641,53744,54504,383.8857142857143,389.3142857142857,149.2888888888889,18961,15062,9597,5394,1838,0.35280217326585295,0.28025454004167905,0.17856877046740102,0.10036469187258112,0.034199166,30053,0.5591880023816612,0.8571428571428571,0.6428571428571429,0.7857142857142857,0,0,0.42857142857142855,0.42857142857142855,0,0.9285714285714286,0,4.557142857142857,1.1642857142857144,7.264285714285714,0,9766,108,9638,10276,6485,73.4,0.191202739,0.22613441309801505,0.011058775343026827,0,NA,0,0,0
170,470,130,350,110,300,100,280,Alabama,Bibb County,01007,1,007,8,100,280,2.8,22176,719343,773029,441282,462167,32.43790584415584,34.85881132756133,19.899080086580085,20.840863997113996,0.6134514411066765,0.597865022,34.85881132756133,20.840863997113996,0.597865022,399,418,-19,-19,17647,17248,399,399,-8.57E-04,5.546728056017783e-4,5.161513992359924e-4,5.161513992359924e-4,0.2022907647907648,0.5492424242424242,0.17140151515151514,0.5307539682539683,40765,41047,407.65,410.47,145.58928571428572,15502,8861,11748,3022,478,0.3802771985772108,0.21736784005887402,0.2881883969091132,0.074132221,0.011725745124494051,23631,0.579688458,0.8,0.5,0.6,0,0,0.3,0.5,0,0.8,0,3.29,0.82,12.47,0,7487,161,7322,7863,5036,78.63,0.19288605421317306,0.22533314228399484,0.02150394,0,NA,0,0,0
680,1860,550,1460,430,1150,400,1080,Alabama,Blount County,01009,1,009,8,400,1080,2.7,59110,2154822,2233724,1012139,907449,36.45444087294874,37.78927423447809,17.122974116054813,15.351869396041279,0.4697088669040877,0.406249384,37.78927423447809,15.351869396041279,0.406249384,1434,1248,186,186,73907,60874,13033,13033,0.003146676,0.006048295,0.005834651,0.005834651,0.23087464050076129,0.507596007,0.18521400778210118,0.4969717475892404,155457,157323,388.6425,393.3075,143.94166666666666,70911,42991,22816,10573,2810,0.4561454292826955,0.2765459258830416,0.14676727326527592,0.068012376,0.018075737985423623,76380,0.49132557556108764,0.875,0.45,0.625,0,0,0.375,0.475,0.1,0.9,0,4.305,1.2125,8.04,0,29234,532,28586,30141,25550,75.3525,0.19388641231980547,0.22790581616913166,0.018197989,0,NA,0,0,0
60,140,50,120,40,110,30,80,Alabama,Bullock County,01011,1,011,8,30,80,2.6666666666666665,10230,283392,314807,266360,271363,27.702052785923755,30.772922776148583,26.037145650048878,26.526197458455524,0.9398995031616982,0.8619979860676541,30.772922776148583,26.526197458455524,0.8619979860676541,136,201,-65,-65,5665,7865,-2200,-2200,-0.006353861,-0.007763098,-0.006988409,-0.006988409,0.20733137829912024,0.5390029325513197,0.1780058651026393,0.5440860215053763,8674,8674.0001,289.1333333333333,289.13333666666665,108.425,3486,794,3870,0,0,0.4018907078625778,0.091537929,0.4461609407424487,0,0,4664,0.5376988701867651,0.6666666666666666,1,0.6666666666666666,0,0,0,0,0,1,0,0,0,0,0,1509,0,1448,1528,1120,50.93333333333333,0.17615863500115286,0.1963757871738851,0,0,NA,0,0,0
160,410,150,370,130,320,110,280,Alabama,Butler County,01013,1,013,8,110,280,2.5454545454545454,19027,719572,751954,637975,602970,37.81846849214274,39.52036579597414,33.52998370736322,31.690229673621694,0.8866034253695252,0.8018708591217016,39.52036579597414,31.690229673621694,0.8018708591217016,285,299,-14,-14,10572,12715,-2143,-2143,-7.36E-04,-0.002978159,-0.002849908,-0.002849908,0.22483838755452779,0.49219530141378043,0.20523466652651495,0.47043674777947125,51839,52689,471.26363636363635,478.9909090909091,185.1392857142857,16240,9501,12788,2355,938,0.31327764810277975,0.18327899843746986,0.24668685738536622,0.045429117,0.018094485,24644,0.47539497289685373,0.8181818181818182,0.6363636363636364,0.8181818181818182,0,0,0.2727272727272727,0.45454545454545453,0,0.9090909090909091,0,3.3363636363636364,1.4272727272727272,7.536363636363636,0,7663,225,7371,8085,7295,73.5,0.1559636567063408,0.18991801930891922,0.029361868719822524,0,NA,0,0,0
1110,2900,1060,2670,830,2190,790,2090,Alabama,Calhoun County,01015,1,015,8,790,2090,2.6455696202531644,116242,4286419,4602650,4566934,4479184,36.87495913697287,39.59541301767003,39.28815746459971,38.53326680545758,1.0654427390322785,0.9731750187392045,39.59541301767003,38.53326680545758,0.9731750187392045,2262,2353,-91,-91,114034,101281,12753,12753,-7.83E-04,0.002975211,0.002770795,0.002770795,0.2137695497324547,0.5016431238278763,0.17865315462569467,0.4852032828065587,331348,335776,419.4278481012658,425.0329113924051,158.53971291866029,142971,92046,62129,27731,7161,0.43148291222521334,0.2777925323225129,0.18750377246882433,0.083691466,0.021611719,181906,0.5489877711650591,0.8227848101265823,0.5443037974683544,0.7468354430379747,0,0,0.3670886075949367,0.4810126582278481,0.088607595,0.8734177215189873,0.025316456,4.413924050632912,1.481012658227848,10.065822784810127,0.15316455696202533,65541,1099,64442,69307,65655,87.73037974683544,0.20916679744558592,0.24301362562149806,0.016768129872903985,0,NA,0,0,0
240,610,210,520,170,440,140,360,Alabama,Chambers County,01017,1,017,8,140,360,2.5714285714285716,34572,1170886,1247507,937830,882656,33.86804350341317,36.084316788152265,27.12686567164179,25.53094990165452,0.8009575654675177,0.7075359096181424,36.084316788152265,25.53094990165452,0.7075359096181424,709,848,-139,-139,27868,35702,-7834,-7834,-0.004020595,-0.00669066,-0.006279724,-0.006279724,0.2080006942034016,0.5096609973388869,0.1985132477149138,0.4793763739442323,56718,57233,405.12857142857143,408.8071428571429,157.55,24711,7633,13109,4042,1075,0.43568179413942665,0.1345780880849113,0.2311259212243027,0.071264854,0.018953418667795055,24784,0.43696886350012343,0.7857142857142857,0.5,0.7142857142857143,0,0,0.2857142857142857,0.42857142857142855,0,0.8571428571428571,0,3.142857142857143,1.2785714285714285,6.285714285714286,0,9115,125,8986,9983,8362,71.30714285714286,0.17601114284706795,0.22400987321889376,0.013713658804168952,0,NA,0,0,0
280,720,230,570,180,460,160,410,Alabama,Cherokee County,01019,1,019,8,160,410,2.5625,24981,947492,997447,575262,534860,37.92850566430487,39.92822545134302,23.02798126576198,21.41067211080421,0.607141802,0.5362289926181542,39.92822545134302,21.41067211080421,0.5362289926181542,623,459,164,164,35444,18461,16983,16983,0.006564989,0.017924162,0.017026469,0.017026469,0.18830311036387654,0.5059445178335535,0.23513870541611626,0.5005404107121413,55611,56477,347.56875,352.98125,135.63658536585365,24407,9192,7649,7438,1676,0.43888798978619337,0.16529103954253654,0.1375447303591016,0.1337505169840499,0.030137922353491216,24279,0.43658628688568807,0.75,0.625,0.625,0,0,0.3125,0.4375,0,0.9375,0,3.54375,1.6,6.1125,0,9623,200,9423,10159,8335,63.49375,0.18267968567369766,0.21820564039779194,0.020783539436766082,0,NA,0,0,0
